가격표출력,,,,,,
,,,,,,
,,,,,,
No,PLU코드,상품명,출력여부,대분류,중분류,소분류
60,1500000009335,동아)박카스젤리진열대,미출력,캔디/초콜릿,젤리/캬라멜,젤리행사(데이)
61,1500000015268,하리보)진열대,미출력,캔디/초콜릿,젤리/캬라멜,젤리행사(데이)
62,1500000015275,해태)소용량캔디진열대,미출력,캔디/초콜릿,캔디,캔디행사(데이)
63,1500000016326,젤리벨리)진열대,미출력,캔디/초콜릿,젤리/캬라멜,젤리행사(데이)
64,1500000018580,마즈)이클립스진열대,미출력,캔디/초콜릿,캔디,캔디행사(데이)
65,1500000023828,롯데)아이스브레이커스진열대,미출력,캔디/초콜릿,캔디,캔디행사(데이)
66,1500000024608,오리온)아이셔팝12g,미출력,캔디/초콜릿,캔디,일반캔디
67,1500000101749,마즈)이클립스덤프빈진열대(2020),미출력,캔디/초콜릿,캔디,캔디행사(데이)
68,1500000105501,E24)몰티져스&엠앤엠즈걸이형진열대(20년),미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
69,1500000106485,로쉐)덤프빈매대,미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
70,1500000111601,마즈)이클립스회전형미니진열대,미출력,캔디/초콜릿,캔디,캔디행사(데이)
71,1500000112370,킨더조이걸이형진열대(21년형),미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
72,1500000113643,킨더부에노진열대(21년형),미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
73,1500000114251,마즈)이클립스소프트캔디걸이형진열대(21년형),미출력,캔디/초콜릿,캔디,캔디행사(데이)
74,1500000120238,E24)B코인초콜릿5입기획(사전예약),미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
75,1500000138639,비달)페인터바이칼라캔디8g(A),미출력,캔디/초콜릿,캔디,일반캔디
76,1500000152222,마즈)이클립스트리랙진열대(23년),미출력,캔디/초콜릿,캔디,기능성캔디
77,1500000155056,경희대 SET (판매용),미출력,캔디/초콜릿,젤리/캬라멜,국내젤리
78,1500000155643,트롤리)XXL버거젤리50g*180[진열대],미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
79,1500000200763,에이블)피스타치오코튼초콜릿130g(APP),미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
80,1500000201838,슈야)스티커초콜릿세트(APP),미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
81,1500000201845,슈야)손거울초콜릿세트(APP),미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
82,1500000201852,슈야)아크릴키링초콜릿세트(APP),미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
83,1500000201869,슈야)카드스티커스위트세트(APP),미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
84,1500000201876,슈야)북마크스위트세트(APP),미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
85,1500000202149,수출_옐로우)치즈초꼬미트러플초콜릿96g,미출력,캔디/초콜릿,초콜렛,봉지초콜렛
86,1500000202156,수출_옐로우)밀크초꼬미트러플초콜릿96g,미출력,캔디/초콜릿,초콜렛,봉지초콜렛
87,1500000202163,수출_옐로우)졸음깨우는껌108g(용기),미출력,캔디/초콜릿,껌,용기껌
88,2420000000387,캔디200,미출력,캔디/초콜릿,캔디,일반캔디
89,2420812211896,농심)츄파춥스XXL트리오500,미출력,캔디/초콜릿,캔디,일반캔디
90,2425812211945,트롤리)미니버거10g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
91,2425812212409,젤리벨리빈그린애플400,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
92,2425812212430,젤리벨리빈레몬라임400,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
93,2425812212447,젤리벨리빈레몬400,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
94,2425812212478,젤리벨리빈솜사탕400,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
95,2425812212492,젤리벨리빈체리400,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
96,3045140105502,밀카)알프스밀크100g,미출력,캔디/초콜릿,초콜렛,판초콜렛
97,3046920030069,농심)린트엑스트라크리미밀크35g,미출력,캔디/초콜릿,초콜렛,판초콜렛
98,3046920030076,농심)린트엑스트라크리미다크35g,미출력,캔디/초콜릿,초콜렛,판초콜렛
99,3260711080662,천하)무설탕코코아트러플150g(25V),미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
100,3260711080679,천하)무설탕커피트러플150g(25V),미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
101,3260711090357,아임이)밀크초콜릿90g(S),미출력,캔디/초콜릿,초콜렛,판초콜렛
102,3260711090364,아임이)다크초콜릿90g(S),미출력,캔디/초콜릿,초콜렛,판초콜렛
103,3472710019066,초코모드)에펠탑트러플초콜릿9900(20발렌),미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
104,3608580118565,에스엠)피에로구르망큐블로님부스12입(26V),미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
105,3608580722632,(G)웜구미젤리125g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
106,3608580722656,(G)미니베어구미젤리125g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
107,3664346350549,테리스)오렌지초콜릿밀크145g(26V),미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
108,3800020492895,네슬레)킷캣팝스40g,미출력,캔디/초콜릿,초콜렛,볼초콜렛
109,4000415587604,흥선)프리트(레몬)35g,미출력,캔디/초콜릿,젤리/캬라멜,캬라멜
110,4000415587802,흥선)프리트(베리)35g,미출력,캔디/초콜릿,젤리/캬라멜,캬라멜
111,4000417651105,리터)스포트 땡큐 초코큐브176g(19발렌),미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
112,4000417652409,리터스포트)초코큐브요거트러브176g(24P),미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
113,4000417652508,리터스포트)초코큐브초콜릿포유176g(24P),미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
114,4000512005964,트롤리)요후르츠젤리150g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
115,4000512008903,트롤리)XXL버거젤리50g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
116,4000512015031,(X미사용코드)트롤리)초코바나나마쉬멜로150g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
117,4000512364993,트롤리)사우어글로웜즈미니스200g(26W),미출력,캔디/초콜릿,캔디,캔디행사(데이)
118,4000512403401,트롤리)사우어구미캔디10g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
119,4000512733034,트롤리)미니버거16000,미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
120,4000512776604,트롤리)스파게티니콜라100g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
121,4000512776635,트롤리)스파게티니딸기100g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
122,4000512992509,트롤리)지구젤리18.8g(A),미출력,캔디/초콜릿,젤리/캬라멜,원형젤리
123,4000512994688,트롤리미니버거(80입),미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
124,4000512998082,트롤리)미니버거5입50g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
125,4001686008621,하리보)골드베어펀에디션80g(한정),미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
126,4001686013410,하리보)해리포터해리75g(한정),미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
127,4001686013434,하리보)해리포터헤르미온느75g(한정),미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
128,4001686013458,하리보)해리포터론75g(한정),미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
129,4001686118566,하리보)프로하메90g(한정),미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
130,4001686301265,하리보)골드베어200g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
131,4001686301524,하리보)골드베렌미니스250g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
132,4001686301555,하리보)골드베어100g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
133,4001686303245,하리보)골드베어1000(미사용),미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
134,4001686307588,하리보)골드바렌틴케이스8000(20발렌),미출력,캔디/초콜릿,젤리/캬라멜,젤리행사(데이)
135,4001686315101,하리보)해피콜라200g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
136,4001686323366,하리보)해피콜라100g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
137,4001686329351,하리보)바켈가이스터160g(한정),미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
138,4001686367131,하리보)트로피프루티2000,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
139,4001686372586,하리보)메가룰렛45g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
140,4001686372975,하리보)메가룰렛사우어45g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
141,4001686375518,하리보)프루티부시200g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
142,4001686375754,하리보)프루티부시100g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
143,4001686381328,하리보)자몽100g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
144,4001686386736,삼경)하리보샤프트골드베렌85g(한정),미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
145,4001686386910,하리보)샤프트골드베렌미니스220g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
146,4001686472521,하리보)콱시200g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
147,4001686716977,하리보)해피스프링12입144g(한정),미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
148,4001686726013,하리보)스타믹스미니스250g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
149,4001686804810,하리보)해피스프링80g(한정),미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
150,4002590700915,펄몰)라임민트맛캔디45g(10),미출력,캔디/초콜릿,캔디,기능성캔디
151,4002590703947,펄몰)유칼립투스맛캔디45g(10),미출력,캔디/초콜릿,캔디,기능성캔디
152,4002590703985,펄몰)레몬캔디45g(10),미출력,캔디/초콜릿,캔디,기능성캔디
153,4002590706450,펄몰)라임민트맛캔디45gR,미출력,캔디/초콜릿,캔디,기능성캔디
154,4003084033151,트롤리)베리향구미100g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
155,4003084319507,트롤리)다이노렉스100g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
156,4003084319606,트롤리)초코바나나마시멜로150g,미출력,캔디/초콜릿,젤리/캬라멜,캬라멜
157,4003084319637,트롤리)레드후르츠미니링스100g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
158,4003084880427,트롤리)핫도그모양젤리9g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
159,4003084880434,트롤리)사우어게코젤리19g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
160,4003840008201,히치스)쉬누르사우어비건젤리125g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
161,4003840008317,히츨러)스피넨베이네구미125g(J),미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
162,4003840008720,히츨러)크라케나머비건젤리125g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
163,4003840008744,히츨러)히치스디노크랄렌(비건)125g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
164,4003840008751,히츨러)블루사우어드라헨125g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
165,4003840008843,히츨러)사우어드라헨구미125g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
166,4003840008874,히츨러)쉬누르딸기비건젤리125g,미출력,캔디/초콜릿,젤리/캬라멜,수입젤리
167,4005292651561,임팩트)카카오피치민트15g,미출력,캔디/초콜릿,캔디,기능성캔디
168,4005292651578,임팩트)카카오프레쉬민트15g,미출력,캔디/초콜릿,캔디,기능성캔디
169,4006814058172,투데이)멜팅스노우맨75g(21겨울),미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
170,4008400121321,페레로)지오토116g(25V),미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
171,4008400260921,페레로)킨더컨트리9p(24V),미출력,캔디/초콜릿,초콜렛,초콜렛행사(데이)
