가격표출력,,,,,,
,,,,,,
,,,,,,
No,PLU코드,상품명,출력여부,대분류,중분류,소분류
62,8801007869421,설180CJ건강한선택1호)BYO온가족유산균,미출력,커피차/건강,건강식품,커피차/건강선물세트
63,8801007869506,CJ건강한선택2호)BYO온가족유산균복합,미출력,커피차/건강,건강식품,커피차/건강선물세트
64,8801013770087,큐원)상쾌환,미출력,커피차/건강,건강식품,숙취해소제
65,8801013770155,큐원)상쾌환3입,미출력,커피차/건강,건강식품,숙취해소제
66,8801013776034,큐원)상쾌환스틱(망고맛),미출력,커피차/건강,건강식품,숙취해소제
67,8801013776829,큐원)상쾌환스틱ZERO(청사과맛),미출력,커피차/건강,건강식품,숙취해소제
68,8801013777352,큐원)상쾌환4종진열세트,미출력,커피차/건강,건강식품,숙취해소제
69,8801013777376,큐원)상쾌환스틱(샤인머스캣맛),미출력,커피차/건강,건강식품,숙취해소제
70,8801013777390,큐원)상쾌환스틱ZERO(복숭아맛),미출력,커피차/건강,건강식품,숙취해소제
71,8801037000382,맥심)오리지날커피병100G(D),미출력,커피차/건강,커피차,인스턴트커피
72,8801037000559,동서)프리마500G(D),미출력,커피차/건강,커피차,인스턴트커피
73,8801037001099,동서)옥수수차15입(D),미출력,커피차/건강,커피차,차류
74,8801037001808,동서)보리차15입(D),미출력,커피차/건강,커피차,차류
75,8801037003048,맥심)슈프림골드커피믹스20입,미출력,커피차/건강,커피차,인스턴트커피
76,8801037003123,맥심)카누8호,미출력,커피차/건강,건강식품,커피차/건강선물세트
77,8801037003857,맥심)모카골드병100G(D),미출력,커피차/건강,커피차,인스턴트커피
78,8801037004854,맥심)카누라이트로스트10입(미니)(D),미출력,커피차/건강,커피차,인스턴트커피
79,8801037006391,맥심)모카골드커피믹스20입,미출력,커피차/건강,커피차,인스턴트커피
80,8801037006919,동서)보리차30입,미출력,커피차/건강,커피차,차류
81,8801037007695,동서)엄마순보리차30입(D),미출력,커피차/건강,커피차,차류
82,8801037008371,맥심)카누마일드250입(미니)(예약),미출력,커피차/건강,커피차,인스턴트커피
83,8801037009699,맥심)카누말차라떼8입(D),미출력,커피차/건강,커피차,인스턴트커피
84,8801037009705,맥심)카누밀크티라떼8입(D),미출력,커피차/건강,커피차,인스턴트커피
85,8801037010732,맥심)오리지널커피믹스20입,미출력,커피차/건강,커피차,인스턴트커피
86,8801037010824,맥심)디카페인믹스20입,미출력,커피차/건강,커피차,인스턴트커피
87,8801037010862,카누)바리스타페블머신(블랙),미출력,커피차/건강,건강식품,커피차/건강선물세트
88,8801037010879,카누)바리스타페블머신(화이트),미출력,커피차/건강,건강식품,커피차/건강선물세트
89,8801037012309,동서)둥굴레차25입,미출력,커피차/건강,커피차,차류
90,8801037013917,맥심)슈프림골드커피믹스20입(잔망루피피규어),미출력,커피차/건강,커피차,인스턴트커피
91,8801037014709,동서)아카시아벌꿀600g(D),미출력,커피차/건강,커피차,차류
92,8801037015447,맥심)모카골드제로슈거20입,미출력,커피차/건강,커피차,인스턴트커피
93,8801037018332,동서)제티초코믹스20입,미출력,커피차/건강,커피차,차류
94,8801037018943,동서)옥수수차30입(D),미출력,커피차/건강,커피차,차류
95,8801037019476,맥심)오리지날100입(D),미출력,커피차/건강,커피차,인스턴트커피
96,8801037019667,맥심)모카골드커피믹스100입,미출력,커피차/건강,커피차,인스턴트커피
97,8801037022315,맥심)오리지날50입(D),미출력,커피차/건강,커피차,인스턴트커피
98,8801037022322,맥심)모카골드커피믹스50입,미출력,커피차/건강,커피차,인스턴트커피
99,8801037025194,동서)현미녹차25입,미출력,커피차/건강,커피차,차류
100,8801037025217,동서)현미녹차50입(D),미출력,커피차/건강,커피차,차류
101,8801037028669,맥심)오리지날(리필)170g(D),미출력,커피차/건강,커피차,인스턴트커피
102,8801037028706,맥심)모카골드마일드(리필)170g,미출력,커피차/건강,커피차,인스턴트커피
103,8801037029338,맥심)모카골드커피믹스180입,미출력,커피차/건강,커피차,인스턴트커피
104,8801037030341,동서)미떼핫초코마일드10입(D),미출력,커피차/건강,커피차,차류
105,8801037030365,미떼)핫초코오리지널10입,미출력,커피차/건강,커피차,차류
106,8801037031232,맥심)모카골드마일드50입*3입기획(D),미출력,커피차/건강,건강식품,커피차/건강선물세트
107,8801037033458,맥심)믹스2호(D),미출력,커피차/건강,건강식품,커피차/건강선물세트
108,8801037035643,맥스웰)커피믹스100입(D),미출력,커피차/건강,커피차,인스턴트커피
109,8801037035650,맥스웰)커피믹스20입(D),미출력,커피차/건강,커피차,인스턴트커피
110,8801037035988,맥심)아라비카커피믹스20입(D),미출력,커피차/건강,커피차,인스턴트커피
111,8801037042795,맥심)모카골드마일드(블랙)20입,미출력,커피차/건강,커피차,인스턴트커피
112,8801037044034,동서)맥심믹스81호(D),미출력,커피차/건강,건강식품,커피차/건강선물세트
113,8801037044775,맥심)부드러운블랙20입(D),미출력,커피차/건강,커피차,인스턴트커피
114,8801037044782,맥심)모카골드블랙믹스20입(D),미출력,커피차/건강,커피차,인스턴트커피
115,8801037044799,맥심)아라비카블랙20입(D),미출력,커피차/건강,커피차,인스턴트커피
116,8801037044805,맥심)부드러운블랙100입(대용량)(D),미출력,커피차/건강,커피차,인스턴트커피
117,8801037044812,맥심)모카골드블랙믹스100입(D),미출력,커피차/건강,커피차,인스턴트커피
118,8801037046021,맥심)아이스믹스100입(시즌)(예약),미출력,커피차/건강,커피차,인스턴트커피
119,8801037046656,동서)결명자차18입(D),미출력,커피차/건강,커피차,차류
120,8801037047998,맥심)모카골드믹스210T기획세트(카카오프렌즈)(D),미출력,커피차/건강,커피차,인스턴트커피
121,8801037049534,맥심)카누다크아메리카노10입(D),미출력,커피차/건강,커피차,인스턴트커피
122,8801037049558,카누)다크스위트아메리카노10입(D),미출력,커피차/건강,커피차,인스턴트커피
123,8801037049589,맥심)카누마일드아메리카노10입,미출력,커피차/건강,커피차,인스턴트커피
124,8801037049619,맥심)카누마일드스위트아메리카노10입(D),미출력,커피차/건강,커피차,인스턴트커피
125,8801037050301,동서)카누1호(D),미출력,커피차/건강,건강식품,커피차/건강선물세트
126,8801037050721,맥심)화이트골드커피믹스20입,미출력,커피차/건강,커피차,인스턴트커피
127,8801037050738,맥심)화이트골드커피믹스100입,미출력,커피차/건강,커피차,인스턴트커피
128,8801037050745,맥심)화이트골드커피믹스180입,미출력,커피차/건강,커피차,인스턴트커피
129,8801037051179,맥심)화이트골드커피믹스50입,미출력,커피차/건강,커피차,인스턴트커피
130,8801037051698,맥심)아이스블랙20입(D),미출력,커피차/건강,커피차,인스턴트커피
131,8801037053401,맥심)카누다크아메리카노10입(미니),미출력,커피차/건강,커피차,인스턴트커피
132,8801037053425,맥심)카누마일드아메리카노10입(미니),미출력,커피차/건강,커피차,인스턴트커피
133,8801037053432,카누)다크스위트아메리카노30g(D),미출력,커피차/건강,커피차,인스턴트커피
134,8801037053456,맥심카누다크아메리카노미니9g(10T)*3(D),미출력,커피차/건강,커피차,인스턴트커피
135,8801037053753,맥심)카누마일드100입(미니),미출력,커피차/건강,커피차,인스턴트커피
136,8801037055122,맥심)아이스믹스20입,미출력,커피차/건강,커피차,인스턴트커피
137,8801037055542,맥심)화이트골드커피믹스원컵,미출력,커피차/건강,커피차,원컵커피차류
138,8801037056204,맥심)화이트골드믹스210T기획(카카오프렌즈)(D),미출력,커피차/건강,커피차,인스턴트커피
139,8801037056402,동서)맥심84호,미출력,커피차/건강,건강식품,커피차/건강선물세트
140,8801037056440,동서)카누3호(D),미출력,커피차/건강,건강식품,커피차/건강선물세트
141,8801037057881,제티)초콕초코렛맛10입,미출력,커피차/건강,커피차,차류
142,8801037057898,제티)초콕딸기맛10입(D),미출력,커피차/건강,커피차,차류
143,8801037058659,맥심)카누디카페인10입(미니),미출력,커피차/건강,커피차,인스턴트커피
144,8801037064360,맥심)카누다크150입(미니)(대용량)(D),미출력,커피차/건강,커피차,인스턴트커피
145,8801037064377,맥심)카누마일드150입(미니)(대용량),미출력,커피차/건강,커피차,인스턴트커피
146,8801037065015,카누)아이스미니100T+20T(D),미출력,커피차/건강,커피차,인스턴트커피
147,8801037066777,맥심)카누라떼10입,미출력,커피차/건강,커피차,인스턴트커피
148,8801037067651,맥심)모카골드라이트20입(D),미출력,커피차/건강,커피차,인스턴트커피
149,8801037069013,맥심)카누더블샷라떼10입(D),미출력,커피차/건강,커피차,인스턴트커피
150,8801037069310,맥심)모카골드심플라떼20입(D),미출력,커피차/건강,커피차,인스턴트커피
151,8801037071580,맥심)60호(D),미출력,커피차/건강,건강식품,커피차/건강선물세트
152,8801037071627,맥심)카누3호(D),미출력,커피차/건강,건강식품,커피차/건강선물세트
153,8801037073263,맥심)브라질산토스드립백10입(D),미출력,커피차/건강,커피차,인스턴트커피
154,8801037075502,맥심)카누티라미수라떼8입(D),미출력,커피차/건강,커피차,인스턴트커피
155,8801037075519,맥심)카누바닐라라떼8입,미출력,커피차/건강,커피차,인스턴트커피
156,8801037076295,맥심)모카골드커피믹스200입(타월기획),미출력,커피차/건강,커피차,인스턴트커피
157,8801037077155,맥심)카누시그니처다크12입(미니)(D),미출력,커피차/건강,커피차,인스턴트커피
158,8801037077162,맥심)카누시그니처미디엄12입(미니)(D),미출력,커피차/건강,커피차,인스턴트커피
159,8801037077674,맥심)레트로에디션150입(보온병세트)(D),미출력,커피차/건강,커피차,인스턴트커피
160,8801037078671,맥심)카누돌체라떼8입(D),미출력,커피차/건강,커피차,인스턴트커피
161,8801037078695,맥심)카누민트초코라떼8입(D),미출력,커피차/건강,커피차,인스턴트커피
162,8801037078787,맥심)모카골드커피믹스200입(잔망루피키링),미출력,커피차/건강,커피차,인스턴트커피
163,8801037085327,동서)현미녹차100입(대용량),미출력,커피차/건강,커피차,차류
164,8801037085594,맥심)모카골드커피믹스원컵,미출력,커피차/건강,커피차,원컵커피차류
165,8801037086126,미떼)핫초코원컵(D),미출력,커피차/건강,커피차,원컵커피차류
166,8801037086461,동서)둥굴레차100입(대용량),미출력,커피차/건강,커피차,차류
167,8801037088748,동서)메밀차100입(대용량)(D),미출력,커피차/건강,커피차,차류
168,8801037090642,동서)자색옥수수차80입(대용량)(D),미출력,커피차/건강,커피차,차류
169,8801037092530,동서)루이보스보리차100입(대용량)(D),미출력,커피차/건강,커피차,차류
170,8801037095005,동서)한잔용보리차20입,미출력,커피차/건강,커피차,차류
171,8801042505698,태평양)현미녹차25입,미출력,커피차/건강,커피차,차류
172,8801045071176,오뚜기)둥굴레차20입(D),미출력,커피차/건강,커피차,차류
173,8801047448150,동원)퍼니스트로우초코낱개(D),미출력,커피차/건강,커피차,차류
174,8801047448365,동원)퍼니스트로우딸기10입,미출력,커피차/건강,커피차,차류
175,8801047508809,동원)GNC메가맨비타스틱,미출력,커피차/건강,건강식품,기타건강식품
176,8801047508816,동원)GNC우먼스메가비타스틱,미출력,커피차/건강,건강식품,기타건강식품
177,8801055036516,네슬레)핫쵸코10입(D),미출력,커피차/건강,커피차,차류
178,8801055131693,네슬레)네스퀵초콜릿맛20입,미출력,커피차/건강,커피차,차류
179,8801055701483,네슬레)수프리모무설탕블랙20입(D),미출력,커피차/건강,커피차,인스턴트커피
180,8801055702886,네스카페)수프리모믹스원컵(D),미출력,커피차/건강,커피차,원컵커피차류
181,8801055702893,네스카페)수프리모스위트아메리카노컵(D),미출력,커피차/건강,커피차,원컵커피차류
182,8801055703012,네스카페)카푸치노모카원컵(D),미출력,커피차/건강,커피차,원컵커피차류
183,8801055704309,네스카페)수프리모무설탕블랙원컵,미출력,커피차/건강,커피차,원컵커피차류
184,8801055704446,네슬레)수프리모크레마미니10입(D),미출력,커피차/건강,커피차,인스턴트커피
185,8801055721627,네슬레)네스카페모카믹스20입(D),미출력,커피차/건강,커피차,인스턴트커피
186,8801055722013,네스카페)수프리모오리지널180+20입(대용량)(D),미출력,커피차/건강,커피차,인스턴트커피
187,8801055722181,네스카페)신선한모카원컵(D),미출력,커피차/건강,커피차,원컵커피차류
188,8801055722716,네스카페)수프리모골드마일드20입,미출력,커피차/건강,커피차,인스턴트커피
189,8801055722754,네스카페)수프리모골드마일드180+20입(대용량)(D),미출력,커피차/건강,커피차,인스턴트커피
190,8801055722792,네스카페)수프리모아이스믹스20입(D),미출력,커피차/건강,커피차,인스턴트커피
191,8801055722990,네스카페)부드러운모카20입(D),미출력,커피차/건강,커피차,인스턴트커피
192,8801055723010,네스카페)부드러운모카100입(D),미출력,커피차/건강,커피차,인스턴트커피
193,8801055723171,네스카페)테이스터스초이스20입,미출력,커피차/건강,커피차,인스턴트커피
194,8801055770021,네슬레)네스티복숭아20입,미출력,커피차/건강,커피차,차류
195,8801055772469,네슬레)핫쵸코원컵,미출력,커피차/건강,커피차,원컵커피차류
196,8801055772858,네슬레)블루레모네이드10입(D),미출력,커피차/건강,커피차,차류
