model,mae,rmse,r2
RandomForestRegressor_semester_binary,13.023974516057018,24.74519921562816,0.6253161818276032
random_forest_weather_binary_long_test_result,13.669264524380957,25.064833523348018,0.5813523849065371
baseline_rolling_mean_7,16.91996921893036,34.72158696807299,0.25003946883048844
RandomForestRegressor_weather_binary,17.49505225229888,29.057248957779333,0.47477152451052795
LightGBMRegressor,20.028608991109184,30.696033767091084,0.41385670329092084
RandomForestRegressor_weather,34.48127201249929,52.825535567312876,-0.707539841640747
