feature,importance
sales_qty,2484
purchase_qty,1759
rolling_mean_7,1701
rolling_mean_28,1404
sales_lag_1,1373
rolling_mean_14,1286
plu_code,1051
sales_lag_7,779
month,757
day,743
class_count,629
product_category,398
year,230
is_hot,163
is_rainy,90
is_cold,82
weekday,71
is_exam,0
is_vacation,0
is_end_semester,0
is_start_semester,0
tuesday_class_count,0
monday_class_count,0
is_holiday_or_no_class,0
is_festival,0
thursday_class_count,0
wednesday_class_count,0
friday_class_count,0
is_weekend,0
