base_date,predict_date,plu_code,product_name,product_category,predicted_sales_qty,recent7_mean,guardrailed_predicted_sales_qty,recommended_order_qty
2024-06-20,2024-06-21,8801068913781.0,삼립)상하이스파이시버거(중단),조리빵,1.0512036703513012,1.0,1.0204814681405205,2
2024-06-21,2024-06-22,8809650798013.0,대정)더블숯불갈비맛&김치제육삼각,밥류,1.0872376027423212,1.0,1.0348950410969284,2
2024-06-21,2024-06-22,8809650799577.0,대정)불고기전주비빔김밥,밥류,1.0493376313501683,1.0,1.0197350525400672,2
2024-06-21,2024-06-22,8809909950544.0,탭스)한입쏙간식세트2편,밥류,1.0520238638116783,1.0,1.0208095455246713,2
2024-06-25,2024-06-26,8809038475925.0,선진)회오리소시지바100g,간편식품,1.5666559548617225,1.8571428571428568,1.7409480962304031,2
2024-06-28,2024-06-29,8801104944694.0,빙그레)투게더맛우유240ml,유제품,1.1057546215495109,1.4285714285714286,1.2994447057626615,2
2024-07-01,2024-07-02,8801043072038.0,농심)먹태깡큰사발청양마요맛(큰컵),가공식품,1.245375948426284,1.0,1.0981503793705136,2
2024-07-04,2024-07-05,8801068914894.0,삼립)빅듀얼햄치킨버거2편,조리빵,1.0838679377604472,1.1428571428571428,1.1192614608184646,2
2024-07-08,2024-07-09,8801123311057.0,롯데)의성마늘프랑크매콤땡초65g,간편식품,2.5905263278617063,2.7142857142857144,2.664781959716111,3
2024-07-08,2024-07-09,8809650798198.0,대정)매콤한돈까스삼각2편,밥류,1.0608991806634875,1.1428571428571428,1.1100739579796808,2
2024-07-08,2024-07-09,8809962581990.0,대정)CJ_스팸김치사각김밥2편,밥류,1.2948035118955006,1.2857142857142858,1.2893499761867717,2
2024-07-11,2024-07-12,8801115334439.0,서울)올데이프룻키위250ml,유제품,1.3245601832959244,1.4285714285714286,1.3869669304612269,2
2024-07-17,2024-07-18,8801068921274.0,삼립)포켓몬뮤바닐라케익80g,빵/디저트,1.061591531934895,1.0,1.024636612773958,2
2024-07-22,2024-07-23,8801068923308.0,삼립)포켓몬뮤츠의최종보스밀크롤80g,빵/디저트,1.1911450573511844,1.1428571428571428,1.1621723086547595,2
2024-07-24,2024-07-25,8801068923315.0,삼립)포켓몬망나뇽의고소한앙버터100g,빵/디저트,1.0815031885230706,1.0,1.0326012754092282,2
2024-07-29,2024-07-30,8801068921175.0,삼립)포켓몬치코리타사과데니쉬100g,빵/디저트,1.0,1.0,1.0,2
2024-08-07,2024-08-08,8801068921335.0,삼립)포켓몬팬텀더블초코팡팡80g,빵/디저트,2.866754611370516,1.0,1.2,2
2024-08-09,2024-08-10,8801069416458.0,남양)아몬드데이언스위트190ml,유제품,1.608406108191447,1.1428571428571428,1.3290767289908643,2
2024-08-22,2024-08-23,8801062883431.0,롯데)크런키카카오쿠키볼58g,캔디/초콜릿,1.2229146416293524,1.1428571428571428,1.1748801423660264,2
2024-08-26,2024-08-27,8801001238049.0,하이트)블랙보리펫520ml,음료,1.9984064783716216,2.142857142857143,2.085076877062934,3
2024-08-28,2024-08-29,8801069416441.0,남양)아몬드데이오리지널190ml,유제품,2.850028914271304,2.142857142857143,2.4257258514228073,3
2024-09-01,2024-09-02,8809041429649.0,OKF)워터멜론펫500ml,음료,3.3551587301587302,2.571428571428572,2.8849206349206353,4
2024-09-03,2024-09-04,8801121103562.0,매일)카페라떼카라멜마끼아또220ml,유제품,1.142697395495924,1.0,1.0570789581983697,2
2024-09-03,2024-09-04,8801382148449.0,웅진)옥수수수염차펫500ml,음료,2.71115333087304,3.857142857142857,3.39874704663493,4
2024-09-03,2024-09-04,8801382151067.0,웅진)자연은레몬셔벗에이드제로펫500ml,음료,2.574139638139638,1.4285714285714286,1.7142857142857142,2
2024-09-04,2024-09-05,8801056236007.0,롯데)칠성사이다제로블루라임500ml,음료,1.724493171089569,2.2857142857142856,2.061225839864399,3
2024-09-05,2024-09-06,40111896.0,마즈)트윅스픽앤믹스10g(구),캔디/초콜릿,2.358463758034192,1.2857142857142858,1.542857142857143,2
2024-09-05,2024-09-06,8801104671002.0,빙그레)복숭아아이스티300ml,유제품,2.098697142892895,1.7142857142857142,1.8680502857285863,2
2024-09-05,2024-09-06,8801117352202.0,오리온)사워꿈틀이67g,캔디/초콜릿,1.377128909288667,1.1428571428571428,1.2365658494297525,2
2024-09-05,2024-09-06,8801382151074.0,웅진)자연은애플셔벗에이드제로펫500ml,음료,1.5274125101911005,1.0,1.2,2
2024-09-09,2024-09-10,8801097136618.0,동아)나랑드사이다제로파인캔245ml,음료,1.6898918628605235,1.0,1.2,2
2024-09-09,2024-09-10,8809783230367.0,몬스)메탈커버토치라이터,생활잡화,2.06765776942298,1.4285714285714286,1.6842059649120493,2
2024-09-10,2024-09-11,8804645006104.0,맥널티)복숭아아이스티제로500ml,음료,3.196182373182374,1.5714285714285714,1.8857142857142857,2
2024-09-11,2024-09-12,8801068397956.0,삼립)콰트로치즈브레드90g,빵/디저트,1.704236808212241,1.8571428571428568,1.7959804375706105,2
2024-09-11,2024-09-12,8809695252242.0,팔도)틈새고기짬뽕큰컵,가공식품,1.296527045720903,1.0,1.1186108182883612,2
2024-09-12,2024-09-13,8801068912890.0,삼립)NEW초코보름달75g,빵/디저트,1.5323244593448424,1.4285714285714286,1.4700726408807943,2
2024-09-13,2024-09-14,8801115334095.0,서울)올데이프룻오렌지250ml,유제품,1.7981202848519338,1.8571428571428568,1.8335338282264877,2
2024-09-19,2024-09-20,8801094203009.0,코카)스프라이트캔250ml,음료,1.6449089214600627,1.2857142857142858,1.4293921400125966,2
2024-09-24,2024-09-25,8801043072687.0,농심)푸팟퐁구리큰사발(큰컵),가공식품,2.4238308516216005,1.4285714285714286,1.7142857142857142,2
2024-09-24,2024-09-25,8801068922561.0,삼립)정통크림미니샌드80g,빵/디저트,1.983926122334891,1.0,1.2,2
2024-09-24,2024-09-25,8805684005103.0,MDS)젤리블리샤인머스켓60g,간편식품,1.6705056371496196,1.4285714285714286,1.525345112002705,2
2024-09-26,2024-09-27,8801043072649.0,농심)김치짜구리큰사발(큰컵),가공식품,4.380461805023993,1.0,1.2,2
2024-09-26,2024-09-27,8801115334101.0,서울)올데이프룻자두250ml,유제품,3.1081469270166457,1.1428571428571428,1.3714285714285712,2
2024-09-30,2024-10-01,8801056241988.0,롯데)밀키스딸기바나나340ml,음료,23.9746577034077,2.0,2.4,3
2024-09-30,2024-10-01,8801068916829.0,삼립)햄포테이토샐러드샌드위치2편,조리빵,9.646583333333334,1.1428571428571428,1.3714285714285712,2
2024-09-30,2024-10-01,8808024028831.0,쟈뎅)아워티레몬얼그레이500ml(NEW),음료,11.146181623931623,1.4285714285714286,1.7142857142857142,2
2024-10-31,2024-11-01,8801043064118.0,농심)웰치오렌지제로캔355ml,음료,4.091282238783723,0.8571428571428571,1.0285714285714285,2
2024-10-31,2024-11-01,8801056238575.0,롯데)칠성사이다제로그린플럼355ml,음료,7.976479017112622,1.1428571428571428,1.3714285714285712,2
2024-10-31,2024-11-01,8801069174020.0,남양)17차펫500ml,음료,20.198929792429794,2.2857142857142856,2.7428571428571424,3
2024-10-31,2024-11-01,8801105916485.0,코카)봉봉알로에큐브복숭아펫500ml,음료,8.359780128524738,1.2857142857142858,1.542857142857143,2
2024-10-31,2024-11-01,8804645006098.0,맥널티)자몽아이스티제로500ml,음료,3.964653619500688,1.4285714285714286,1.7142857142857142,2
2024-10-31,2024-11-01,8808024028824.0,쟈뎅)아워티오렌지자몽블랙500ml(NEW),음료,8.228471719582856,1.4285714285714286,1.7142857142857142,2
2024-10-31,2024-11-01,8809256677033.0,미성)오트밀미니바이트40g,과자,3.5870092386231103,1.0,1.2,2
2024-10-31,2024-11-01,8809650795142.0,대정)더빅매콤제육삼각김밥,밥류,2.7979473184891823,1.0,1.2,2
2024-10-31,2024-11-01,93682350.0,마즈)트윅스(구),캔디/초콜릿,18.891071428571426,2.4285714285714284,2.914285714285714,4
2024-11-29,2024-11-30,1500000152239.0,대정)다찬도시락(조선대특판용)(중단),밥류,95.71130555555555,33.0,39.6,42
2024-11-29,2024-11-30,1500000152260.0,대정)푸짐한제육&불고기도시락(조선대특판용),밥류,87.84089285714288,30.857142857142858,37.028571428571425,39
