base_date,predict_date,plu_code,product_name,product_category,predicted_sales_qty,recommended_order_qty
2024-08-22,2024-08-23,8801062883431.0,롯데)크런키카카오쿠키볼58g,캔디/초콜릿,1.2764587569168009,2
2024-08-26,2024-08-27,8801001238049.0,하이트)블랙보리펫520ml,음료,2.216727714621872,3
2024-08-28,2024-08-29,8801069416441.0,남양)아몬드데이오리지널190ml,유제품,2.5813590359830427,4
2024-09-01,2024-09-02,8809041429649.0,OKF)워터멜론펫500ml,음료,4.797736388609284,6
2024-09-03,2024-09-04,8801121103562.0,매일)카페라떼카라멜마끼아또220ml,유제품,1.2560245841165891,2
2024-09-03,2024-09-04,8801382148449.0,웅진)옥수수수염차펫500ml,음료,2.705686277585193,4
2024-09-03,2024-09-04,8801382151067.0,웅진)자연은레몬셔벗에이드제로펫500ml,음료,3.6452045830741686,5
2024-09-04,2024-09-05,8801056236007.0,롯데)칠성사이다제로블루라임500ml,음료,2.0583547957465,3
2024-09-05,2024-09-06,40111896.0,마즈)트윅스픽앤믹스10g(구),캔디/초콜릿,2.5679065710652287,4
2024-09-05,2024-09-06,8801104671002.0,빙그레)복숭아아이스티300ml,유제품,2.487092040889197,3
2024-09-05,2024-09-06,8801117352202.0,오리온)사워꿈틀이67g,캔디/초콜릿,1.4180695278934206,2
2024-09-05,2024-09-06,8801382151074.0,웅진)자연은애플셔벗에이드제로펫500ml,음료,1.5297615442242938,2
2024-09-09,2024-09-10,8801097136618.0,동아)나랑드사이다제로파인캔245ml,음료,1.517969021507308,2
2024-09-09,2024-09-10,8809783230367.0,몬스)메탈커버토치라이터,생활잡화,2.064867262681582,3
2024-09-10,2024-09-11,8804645006104.0,맥널티)복숭아아이스티제로500ml,음료,3.7110178199979735,5
2024-09-11,2024-09-12,8801068397956.0,삼립)콰트로치즈브레드90g,빵/디저트,1.8928910347059908,3
2024-09-11,2024-09-12,8809695252242.0,팔도)틈새고기짬뽕큰컵,가공식품,1.3514416185756757,2
2024-09-12,2024-09-13,8801068912890.0,삼립)NEW초코보름달75g,빵/디저트,1.611501791385622,2
2024-09-12,2024-09-13,8809650798099.0,대정)더블스팸김치볶음&햄참치마요삼각,밥류,1.368867657507831,2
2024-09-13,2024-09-14,8801115334095.0,서울)올데이프룻오렌지250ml,유제품,2.0211608419169336,3
2024-09-19,2024-09-20,8801094203009.0,코카)스프라이트캔250ml,음료,1.6421877786200412,2
2024-09-24,2024-09-25,8801043072687.0,농심)푸팟퐁구리큰사발(큰컵),가공식품,2.1666504095755,3
2024-09-24,2024-09-25,8801068922561.0,삼립)정통크림미니샌드80g,빵/디저트,2.035278259966352,3
2024-09-24,2024-09-25,8805684005103.0,MDS)젤리블리샤인머스켓60g,간편식품,1.780586985968554,3
2024-09-26,2024-09-27,8801043072649.0,농심)김치짜구리큰사발(큰컵),가공식품,4.186902178362604,6
2024-09-26,2024-09-27,8801115334101.0,서울)올데이프룻자두250ml,유제품,3.23451867370034,4
2024-09-30,2024-10-01,8801056241988.0,롯데)밀키스딸기바나나340ml,음료,23.779217171717168,29
2024-09-30,2024-10-01,8801068916829.0,삼립)햄포테이토샐러드샌드위치2편,조리빵,10.061755966255966,13
2024-09-30,2024-10-01,8808024028831.0,쟈뎅)아워티레몬얼그레이500ml(NEW),음료,10.492226884226882,13
2024-10-01,2024-10-02,8801043064118.0,농심)웰치오렌지제로캔355ml,음료,4.462987035468443,6
2024-10-01,2024-10-02,8801045570068.0,오뚜기)진라면순한맛소컵,가공식품,10.965106437541063,14
2024-10-01,2024-10-02,8801056238575.0,롯데)칠성사이다제로그린플럼355ml,음료,7.177643618503655,9
2024-10-01,2024-10-02,8801069174020.0,남양)17차펫500ml,음료,18.82928769817383,23
2024-10-01,2024-10-02,8801105916485.0,코카)봉봉알로에큐브복숭아펫500ml,음료,7.161236122058552,9
2024-10-01,2024-10-02,8804645006098.0,맥널티)자몽아이스티제로500ml,음료,2.4346264790411967,3
2024-10-01,2024-10-02,8808024028824.0,쟈뎅)아워티오렌지자몽블랙500ml(NEW),음료,6.724631259283513,9
2024-10-01,2024-10-02,8809256677033.0,미성)오트밀미니바이트40g,과자,3.844460267590041,5
2024-10-01,2024-10-02,8809650795142.0,대정)더빅매콤제육삼각김밥,밥류,2.7243804085289662,4
2024-10-01,2024-10-02,93682350.0,마즈)트윅스(구),캔디/초콜릿,18.122756902146843,22
2024-11-01,2024-11-02,1500000152239.0,대정)다찬도시락(조선대특판용)(중단),밥류,94.74060425685424,114
2024-11-01,2024-11-02,1500000152260.0,대정)푸짐한제육&불고기도시락(조선대특판용),밥류,86.19491883116885,104
2024-11-01,2024-11-02,1500000166045.0,대정)통등심돈까스&쏘야도시락(조선대특판용),밥류,87.73316883116883,106
2024-11-01,2024-11-02,8801074008044.0,한성)바베큐직화구이70g,간편식품,15.63237265512266,19
2024-11-01,2024-11-02,8801117343705.0,오리온)마이구미청포도66g,캔디/초콜릿,3.317927259131756,4
2024-11-01,2024-11-02,8801123727742.0,롯데)쉐푸드쫄깃롤만두180g,간편식품,4.232803004707284,6
2024-11-01,2024-11-02,8809650797634.0,대정)더빅베이컨참치마요삼각,밥류,3.014967387219909,4
2024-11-01,2024-11-02,8809722900009.0,팡마니)햄치즈샌드위치2편(중단),조리빵,9.453308140783948,12
2024-11-01,2024-11-02,8809827250146.0,허쉬)초코멜로쿠키45g,과자,5.891595250459096,8
2024-11-01,2024-11-02,8809846900886.0,매일)셀렉스프로핏모카초코250ml,유제품,5.790006899583216,7
2024-11-01,2024-11-02,8809962581785.0,대정)힘내용김밥2편,밥류,44.79839438339439,54
2024-12-01,2024-12-02,4807770192326.0,에이스)키드오버터맛90g,과자,2.527957403471416,4
2024-12-01,2024-12-02,8801056242725.0,롯데)펩시콜라제로파인355ml,음료,2.5576676060031605,4
2024-12-01,2024-12-02,8801111187930.0,크라운)마이쮸복숭아44g,캔디/초콜릿,2.01605411108324,3
2024-12-01,2024-12-02,8801115381518.0,동서)스타벅스카페라떼270ml,유제품,1.952240821621936,3
2024-12-01,2024-12-02,8801121107942.0,매일)바리스타모카프레소컵250ml,유제품,3.1983926621891823,4
2024-12-01,2024-12-02,8809605750042.0,레트로)자야30g,과자,4.377877131106267,6
2024-12-01,2024-12-02,8809650797801.0,대정)더빅통햄참치마요삼각,밥류,4.749924340657394,6
2024-12-01,2024-12-02,9002975319003.0,하리보)해피그레이프100g,캔디/초콜릿,2.1550800155059058,3
2025-01-01,2025-01-02,6921211116660.0,츄파춥스)사워크롤러60g,캔디/초콜릿,4.066809523809523,5
2025-01-01,2025-01-02,8801068374803.0,삼립)불고기치즈부리또(2편),간편식품,9.069739316239312,11
2025-01-01,2025-01-02,8801104667029.0,빙그레)스페셜티탄자니아460ml,유제품,4.794170634920635,6
2025-01-01,2025-01-02,8801104667043.0,빙그레)스페셜티예가체프460ml,유제품,4.0156232889730346,5
2025-01-01,2025-01-02,8801117482503.0,오리온)단백질볼48g(D),캔디/초콜릿,4.539334956709956,6
2025-01-01,2025-01-02,8809019594058.0,롯데)슈크림패스츄리105g,빵/디저트,2.1027424242424244,3
2025-01-01,2025-01-02,8809171363509.0,죠스)오리지널어묵떡볶이240g,간편식품,2.563727355977357,4
